workload,arch,profile,text_bytes,instruction_count,bytes_per_instruction
pcre2,m68k,speed,250044,75331,3.3193
pcre2,i686,speed,246523,64759,3.8068
pcre2,x86-64-v1,speed,250448,62266,4.0222
pcre2,x86-64-v3,speed,251142,60843,4.1277
pcre2,x86-64-vnext,speed,269621,61930,4.3536
pcre2,s390x-z16,speed,255312,53249,4.7947
pcre2,mips32r6,speed,246400,61572,4.0018
pcre2,armv7a-arm,speed,237424,59356,4.0000
pcre2,armv7m,speed,173460,61784,2.8075
pcre2,mips64r6,speed,251728,62895,4.0024
pcre2,armv8.2a-aarch64,speed,217976,54494,4.0000
pcre2,armv9.5a-aarch64,speed,218380,54595,4.0000
pcre2,rv64g,speed,257008,64252,4.0000
pcre2,rva23u64,speed,193686,62999,3.0744
pcre2,ppc64le-power10,speed,279212,69567,4.0136
pcre2,m68k,size,175742,54750,3.2099
pcre2,i686,size,182114,53039,3.4336
pcre2,x86-64-v1,size,186635,49762,3.7506
pcre2,x86-64-v3,size,186799,48758,3.8311
pcre2,x86-64-vnext,size,194956,48089,4.0541
pcre2,s390x-z16,size,206816,42817,4.8302
pcre2,mips32r6,size,201328,50300,4.0025
pcre2,armv7a-arm,size,200880,50049,4.0137
pcre2,armv7m,size,134676,51428,2.6187
pcre2,mips64r6,size,205488,51339,4.0026
pcre2,armv8.2a-aarch64,size,178036,44509,4.0000
pcre2,armv9.5a-aarch64,size,177912,44478,4.0000
pcre2,rv64g,size,205080,51270,4.0000
pcre2,rva23u64,size,148002,49739,2.9756
pcre2,ppc64le-power10,size,203668,50673,4.0193
sqlite,m68k,speed,855964,258379,3.3128
sqlite,i686,speed,802275,236795,3.3881
sqlite,x86-64-v1,speed,833155,214872,3.8774
sqlite,x86-64-v3,speed,861123,216544,3.9767
sqlite,x86-64-vnext,speed,886915,212290,4.1778
sqlite,s390x-z16,speed,920368,194520,4.7315
sqlite,mips32r6,speed,883536,220884,4.0000
sqlite,armv7a-arm,speed,807540,201830,4.0011
sqlite,armv7m,speed,533048,202033,2.6384
sqlite,mips64r6,speed,960736,240162,4.0004
sqlite,armv8.2a-aarch64,speed,789224,197306,4.0000
sqlite,armv9.5a-aarch64,speed,791384,197846,4.0000
sqlite,rv64g,speed,893620,223405,4.0000
sqlite,rva23u64,speed,634350,219669,2.8878
sqlite,ppc64le-power10,speed,1039892,258883,4.0168
sqlite,m68k,size,496040,154934,3.2016
sqlite,i686,size,489085,161389,3.0305
sqlite,x86-64-v1,size,482469,138083,3.4941
sqlite,x86-64-v3,size,486494,137522,3.5376
sqlite,x86-64-vnext,size,509864,133357,3.8233
sqlite,s390x-z16,size,614680,128773,4.7734
sqlite,mips32r6,size,599888,149972,4.0000
sqlite,armv7a-arm,size,542856,135576,4.0041
sqlite,armv7m,size,349916,135591,2.5807
sqlite,mips64r6,size,677392,169348,4.0000
sqlite,armv8.2a-aarch64,size,525484,131371,4.0000
sqlite,armv9.5a-aarch64,size,525396,131349,4.0000
sqlite,rv64g,size,608392,152098,4.0000
sqlite,rva23u64,size,428168,149977,2.8549
sqlite,ppc64le-power10,size,597460,147826,4.0416
zlib,m68k,speed,51902,16631,3.1208
zlib,i686,speed,58167,17439,3.3355
zlib,x86-64-v1,speed,58824,15432,3.8118
zlib,x86-64-v3,speed,58336,15101,3.8631
zlib,x86-64-vnext,speed,59712,14215,4.2006
zlib,s390x-z16,speed,66768,14219,4.6957
zlib,mips32r6,speed,61088,15255,4.0045
zlib,armv7a-arm,speed,54612,13653,4.0000
zlib,armv7m,speed,36836,13568,2.7149
zlib,mips64r6,speed,63392,15824,4.0061
zlib,armv8.2a-aarch64,speed,52428,13107,4.0000
zlib,armv9.5a-aarch64,speed,52208,13052,4.0000
zlib,rv64g,speed,61768,15442,4.0000
zlib,rva23u64,speed,42718,15021,2.8439
zlib,ppc64le-power10,speed,71060,17592,4.0393
zlib,m68k,size,39522,12795,3.0889
zlib,i686,size,41355,13933,2.9681
zlib,x86-64-v1,size,40797,11496,3.5488
zlib,x86-64-v3,size,40796,11342,3.5969
zlib,x86-64-vnext,size,42170,10783,3.9108
zlib,s390x-z16,size,53696,11222,4.7849
zlib,mips32r6,size,52176,13023,4.0065
zlib,armv7a-arm,size,45884,11471,4.0000
zlib,armv7m,size,29214,11174,2.6145
zlib,mips64r6,size,52832,13197,4.0033
zlib,armv8.2a-aarch64,size,43096,10774,4.0000
zlib,armv9.5a-aarch64,size,43152,10788,4.0000
zlib,rv64g,size,51884,12971,4.0000
zlib,rva23u64,size,35158,12340,2.8491
zlib,ppc64le-power10,size,50332,12434,4.0479
