workload,arch,text_bytes,instruction_count,bytes_per_instruction
busybox,m68k,233206,73428,3.1760
busybox,i686,229131,71200,3.2181
busybox,x86-64-v1,232776,62665,3.7146
busybox,x86-64-v3,235068,63026,3.7297
busybox,x86-64-vnext,240402,60297,3.9870
busybox,s390x-z16,315804,69844,4.5216
busybox,mips32r6,306908,76667,4.0031
busybox,mips64r6,323420,80672,4.0091
busybox,armv7a-arm,248640,62162,3.9999
busybox,armv7m,165750,41442,3.9996
busybox,armv8.2a-aarch64,248136,62042,3.9995
busybox,armv9.5a-aarch64,247884,61979,3.9995
busybox,rv64g,281272,70318,4.0000
busybox,rva23u64,198860,70133,2.8355
busybox,ppc64le-power10,328352,81625,4.0227
sqlite,m68k,855964,258379,3.3128
sqlite,i686,757462,225981,3.3519
sqlite,x86-64-v1,786972,204827,3.8421
sqlite,x86-64-v3,815403,206613,3.9465
sqlite,x86-64-vnext,841242,202407,4.1562
sqlite,s390x-z16,914600,191636,4.7726
sqlite,mips32r6,883536,220884,4.0000
sqlite,mips64r6,943632,235908,4.0000
sqlite,armv7a-arm,807540,201830,4.0011
sqlite,armv7m,532272,201640,2.6397
sqlite,armv8.2a-aarch64,780392,195098,4.0000
sqlite,armv9.5a-aarch64,782396,195599,4.0000
sqlite,rv64g,893620,223405,4.0000
sqlite,rva23u64,634350,219669,2.8878
sqlite,ppc64le-power10,988628,246067,4.0177
zlib,m68k,51902,16631,3.1208
zlib,i686,54715,16603,3.2955
zlib,x86-64-v1,55121,14633,3.7669
zlib,x86-64-v3,54986,14366,3.8275
zlib,x86-64-vnext,56046,13429,4.1735
zlib,s390x-z16,66104,13887,4.7601
zlib,mips32r6,61088,15255,4.0045
zlib,mips64r6,62240,15533,4.0070
zlib,armv7a-arm,54612,13653,4.0000
zlib,armv7m,36782,13541,2.7163
zlib,armv8.2a-aarch64,51708,12927,4.0000
zlib,armv9.5a-aarch64,51504,12876,4.0000
zlib,rv64g,61768,15442,4.0000
zlib,rva23u64,42718,15021,2.8439
zlib,ppc64le-power10,67332,16660,4.0415
